title,price,link,type,materials,condition,has_gold,has_silver,has_diamond,is_vintage,price_category,log_price,posted_date,posted_text,post_id
"> ladies ring - amethyst, diamonds & 10k gold, vintage piece <",0,https://charlottesville.craigslist.org/jwl/d/charlottesville-ladies-ring-amethyst/7875880835.html,ring,"gold, diamond, vintage",vintage,True,False,True,True,free,,2025-08-22T23:52:55-0400,2025-08-22 23:52,unknown
vintage elgin ramona gold plated ladies watch pin.,150,https://charlottesville.craigslist.org/jwl/d/charlottesville-vintage-elgin-ramona/7912422642.html,watch,"gold, vintage",vintage,True,False,False,True,mid-range,5.0106352940962555,2026-02-01T15:47:32-0500,2026-02-01 15:47,unknown
vintage linda van der linde pink porcelain earrings set.,50,https://charlottesville.craigslist.org/jwl/d/charlottesville-vintage-linda-van-der/7903466760.html,ring,vintage,vintage,False,False,False,True,budget,3.912023005428146,2025-12-19T13:46:08-0500,2025-12-19 13:46,unknown
silver rings,1,https://charlottesville.craigslist.org/jwl/d/greenwood-silver-rings/7912737158.html,ring,silver,unknown,False,True,False,False,budget,0.0,2026-02-03T07:02:22-0500,2026-02-03 07:02,unknown
2002 tj  4.0 wrangler drivetrain 36 k original miles,2700,https://charlottesville.craigslist.org/jwl/d/schuyler-2002-tj-40-wrangler-drivetrain/7907694976.html,other,unknown,unknown,False,False,False,False,luxury,7.90100705199242,2026-01-10T01:24:48-0500,2026-01-10 01:24,unknown
oyster perpetual   diver watch,145,https://charlottesville.craigslist.org/jwl/d/schuyler-oyster-perpetual-diver-watch/7898162463.html,watch,unknown,unknown,False,False,False,False,mid-range,4.976733742420574,2025-11-24T21:38:00-0500,2025-11-24 21:38,unknown
chris king headset 1 1/8 new,97,https://charlottesville.craigslist.org/jwl/d/schuyler-chris-king-headset-new/7907641678.html,other,unknown,new,False,False,False,False,mid-range,4.574710978503383,2026-01-09T18:17:34-0500,2026-01-09 18:17,unknown
linda van der linde necklace and earrings set,90,https://charlottesville.craigslist.org/jwl/d/charlottesville-linda-van-der-linde/7903466930.html,necklace,unknown,unknown,False,False,False,False,mid-range,4.499809670330265,2025-12-19T13:46:45-0500,2025-12-19 13:46,unknown
lori griener black jewelry box mirror,30,https://charlottesville.craigslist.org/jwl/d/troy-lori-griener-black-jewelry-box/7893165209.html,other,unknown,unknown,False,False,False,False,budget,3.4011973816621555,2025-11-03T12:07:31-0500,2025-11-03 12:07,unknown
taskets renaissance jewelry box chest of ceramic drawers woven basket,20,https://charlottesville.craigslist.org/jwl/d/troy-taskets-renaissance-jewelry-box/7908205985.html,other,unknown,unknown,False,False,False,False,budget,2.995732273553991,2026-01-12T15:06:39-0500,2026-01-12 15:06,unknown
raymond weil gold plated watch,150,https://charlottesville.craigslist.org/jwl/d/nellysford-raymond-weil-gold-plated/7877117585.html,watch,gold,unknown,True,False,False,False,mid-range,5.0106352940962555,2025-08-27T20:11:54-0400,2025-08-27 20:11,unknown
raymond weil 18k gold plated watch 9006,125,https://charlottesville.craigslist.org/jwl/d/nellysford-raymond-weil-18k-gold-plated/7877117458.html,watch,gold,unknown,True,False,False,False,mid-range,4.8283137373023015,2025-08-27T20:11:18-0400,2025-08-27 20:11,unknown
watch winder for 4 watches,100,https://charlottesville.craigslist.org/jwl/d/nellysford-watch-winder-for-watches/7898474821.html,watch,unknown,unknown,False,False,False,False,mid-range,4.605170185988092,2025-11-26T12:20:18-0500,2025-11-26 12:20,unknown
silver novelty bracelet,15,https://charlottesville.craigslist.org/jwl/d/charlottesville-silver-novelty-bracelet/7912542473.html,bracelet,silver,unknown,False,True,False,False,budget,2.70805020110221,2026-02-02T10:33:18-0500,2026-02-02 10:33,unknown
godfrey carter 925 sterling silver bracelet,50,https://charlottesville.craigslist.org/jwl/d/troy-godfrey-carter-925-sterling-silver/7908205010.html,bracelet,silver,unknown,False,True,False,False,budget,3.912023005428146,2026-01-12T15:03:51-0500,2026-01-12 15:03,unknown
slightly negotiable 2025 submariner date stickers complete and receipt,13995,https://charlottesville.craigslist.org/jwl/d/fishkill-slightly-negotiable-2025/7903973750.html,other,unknown,unknown,False,False,False,False,luxury,9.546455401949554,2025-12-22T06:27:06-0500,2025-12-22 06:27,unknown
two wooden jewelry boxes plus jewelry,250,https://charlottesville.craigslist.org/jwl/d/montpelier-station-two-wooden-jewelry/7895470010.html,other,unknown,unknown,False,False,False,False,premium,5.521460917862246,2025-11-12T23:33:01-0500,2025-11-12 23:33,unknown
mickey mouse 75 th anniversary watch,125,https://charlottesville.craigslist.org/jwl/d/charlottesville-mickey-mouse-75-th/7879619584.html,watch,unknown,unknown,False,False,False,False,mid-range,4.8283137373023015,2025-09-06T19:02:46-0400,2025-09-06 19:02,unknown
special vintage sterling silver flower necklace italian designer milor,80,https://charlottesville.craigslist.org/jwl/d/troy-special-vintage-sterling-silver/7872261605.html,necklace,"silver, vintage",vintage,False,True,False,True,mid-range,4.382026634673881,2025-08-08T21:34:26-0400,2025-08-08 21:34,unknown
musical jewelry box,10,https://charlottesville.craigslist.org/jwl/d/troy-musical-jewelry-box/7872773147.html,other,unknown,unknown,False,False,False,False,budget,2.302585092994046,2025-08-11T08:23:15-0400,2025-08-11 08:23,unknown
new box judith ripka sterling silver 925 link cultured pearl toggle,160,https://charlottesville.craigslist.org/jwl/d/troy-new-box-judith-ripka-sterling/7876412981.html,other,"silver, pearl",new,False,True,False,False,premium,5.075173815233827,2025-08-25T10:39:02-0400,2025-08-25 10:39,unknown
ring from cameleer,50,https://charlottesville.craigslist.org/jwl/d/trevilians-ring-from-cameleer/7900616718.html,ring,unknown,unknown,False,False,False,False,budget,3.912023005428146,2025-12-06T12:49:05-0500,2025-12-06 12:49,unknown
ruby chip ring in rose gold,300,https://charlottesville.craigslist.org/jwl/d/charlottesville-ruby-chip-ring-in-rose/7876632723.html,ring,gold,unknown,True,False,False,False,premium,5.703782474656201,2025-08-26T01:22:15-0400,2025-08-26 01:22,unknown
watch,75,https://charlottesville.craigslist.org/jwl/d/charlottesville-watch/7909959159.html,watch,unknown,unknown,False,False,False,False,mid-range,4.31748811353631,2026-01-20T15:32:50-0500,2026-01-20 15:32,unknown
assorted costume jewelry bracelets,15,https://charlottesville.craigslist.org/jwl/d/charlottesville-assorted-costume/7902615145.html,bracelet,unknown,unknown,False,False,False,False,budget,2.70805020110221,2025-12-15T16:17:23-0500,2025-12-15 16:17,unknown
older jewelry box,5,https://charlottesville.craigslist.org/jwl/d/troy-older-jewelry-box/7878177166.html,other,unknown,unknown,False,False,False,False,budget,1.6094379124341003,2025-09-01T10:11:30-0400,2025-09-01 10:11,unknown
mens watch,50,https://charlottesville.craigslist.org/jwl/d/charlottesville-mens-watch/7910974505.html,watch,unknown,unknown,False,False,False,False,budget,3.912023005428146,2026-01-25T14:46:31-0500,2026-01-25 14:46,unknown
